Objective_Type,Tuning_Profile,Controller_Type,GS_Method,Iteration,GWO_Cost
time_domain_objective,balanced,fuzzy,sigmoid,44,0.3834620782709576
time_domain_objective,balanced,fuzzy,sigmoid,45,0.3834609086499569
time_domain_objective,balanced,fuzzy,sigmoid,46,0.38346043095994664
time_domain_objective,balanced,fuzzy,sigmoid,47,0.38345976501691764
time_domain_objective,balanced,fuzzy,sigmoid,48,0.38345896658023115
time_domain_objective,balanced,fuzzy,sigmoid,49,0.3834583329339059
time_domain_objective,balanced,fuzzy,sigmoid,50,0.3834583329339059
time_domain_objective,balanced,model_based,None,1,0.4567441255603256
time_domain_objective,balanced,model_based,None,2,0.38429183671290107
time_domain_objective,balanced,model_based,None,3,0.38429183671290107
time_domain_objective,balanced,model_based,None,4,0.3831919620091507
time_domain_objective,balanced,model_based,None,5,0.3831919620091507
time_domain_objective,balanced,model_based,None,6,0.3831919620091507
time_domain_objective,balanced,model_based,None,7,0.3831257937650977
time_domain_objective,balanced,model_based,None,8,0.3831257937650977
time_domain_objective,balanced,model_based,None,9,0.3831257937650977
time_domain_objective,balanced,model_based,None,10,0.3831257937650977
time_domain_objective,balanced,model_based,None,11,0.3831257937650977
time_domain_objective,balanced,model_based,None,12,0.3831211671027414
time_domain_objective,balanced,model_based,None,13,0.3831211671027414
time_domain_objective,balanced,model_based,None,14,0.3831211671027414
time_domain_objective,balanced,model_based,None,15,0.3831184983700201
time_domain_objective,balanced,model_based,None,16,0.3831184983700201
time_domain_objective,balanced,model_based,None,17,0.38311478359614876
time_domain_objective,balanced,model_based,None,18,0.38310202263283827
time_domain_objective,balanced,model_based,None,19,0.3830990992803976
time_domain_objective,balanced,model_based,None,20,0.3830990992803976
time_domain_objective,balanced,model_based,None,21,0.3830969460348029
time_domain_objective,balanced,model_based,None,22,0.3830969460348029
time_domain_objective,balanced,model_based,None,23,0.3830952323954803
time_domain_objective,balanced,model_based,None,24,0.38309489213274495
time_domain_objective,balanced,model_based,None,25,0.38309251623895085
time_domain_objective,balanced,model_based,None,26,0.38309251623895085
time_domain_objective,balanced,model_based,None,27,0.38309208012095597
time_domain_objective,balanced,model_based,None,28,0.3830915323306848
time_domain_objective,balanced,model_based,None,29,0.3830907666151866
time_domain_objective,balanced,model_based,None,30,0.3830907666151866
time_domain_objective,balanced,model_based,None,31,0.3830897965690235
time_domain_objective,balanced,model_based,None,32,0.3830874437336618
time_domain_objective,balanced,model_based,None,33,0.3830855784033847
time_domain_objective,balanced,model_based,None,34,0.3830855784033847
time_domain_objective,balanced,model_based,None,35,0.3830855784033847
time_domain_objective,balanced,model_based,None,36,0.3830855784033847
time_domain_objective,balanced,model_based,None,37,0.3830855784033847
time_domain_objective,balanced,model_based,None,38,0.3830855784033847
time_domain_objective,balanced,model_based,None,39,0.3830855784033847
